Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1928,"Docks of New York, The",Josef von Sternberg,NR,76,0,0,0,0,0
1965,Doctor Zhivago,David Lean,PG-13,197,0,0,1,0,0
1936,Dodsworth,William Wyler,NR,101,0,0,0,0,1
1975,Dog Day Afternoon,Sidney Lumet,R,124,1,1,1,1,1
1999,Dogma,Kevin Smith,R,130,1,1,1,1,1
2003,Dogville,Lars von Trier,R,177,0,0,0,0,1
1960,"Dolce Vita, La",Federico Fellini,NR,174,0,0,0,0,0
2001,Don't Tempt Me,Agustín Díaz Yanes,R,112,0,0,1,0,0
2001,Donnie Darko,Richard Kelly,R,113,1,1,1,1,1
1991,"Doors, The",Oliver Stone,R,134,1,1,0,0,0
1944,Double Indemnity,Billy Wilder,NR,107,0,0,0,0,1
1964,Dr. Strangelove,Stanley Kubrick,PG,93,1,1,1,1,1
1939,Drums Along the Mohawk,John Ford,NR,103,0,0,0,0,1
1933,Duck Soup,Leo McCarey,NR,70,0,0,1,0,1
1994,Dumb & Dumber,Peter Farrelly,PG-13,101,1,1,1,1,1
1941,Dumbo,Ben Sharpsteen,G,64,1,1,1,1,1
1982,E.T. the Extra-Terrestrial,Steven Spielberg,PG,115,1,1,1,1,1
1955,East of Eden,Elia Kazan,NR,115,0,0,0,0,0
1969,Easy Rider,Dennis Hopper,R,94,0,0,1,0,1
1994,Ed Wood,Tim Burton,R,127,1,1,1,0,1
1997,"Edge, The",Lee Tamahori,R,117,1,1,1,1,1
1990,Edward Scissorhands,Tim Burton,PG-13,100,1,1,1,1,1
1999,Election,Alexander Payne,R,103,0,1,1,1,1
2003,Elephant,Gus Van Sant,R,81,0,1,1,1,1
1980,"Elephant Man, The",David Lynch,PG,124,0,0,1,0,1
1992,Enchanted April,Mike Newell,PG,95,0,0,0,0,0
1996,"English Patient, The",Anthony Minghella,R,160,0,0,1,0,1
1973,Enter The Dragon,Robert Clouse,R,110,0,0,0,1,0
1977,Eraserhead,David Lynch,NR,90,0,1,1,1,1
1979,Escape from Alcatraz,Don Siegel,PG,112,0,0,0,1,1
1996,Escape from L.A.,John Carpenter,R,101,1,0,0,1,1
1981,Escape from New York,John Carpenter,R,99,1,0,0,1,1
2004,Eternal Sunshine of the Spotless Mind,Michel Gondry,R,108,1,1,1,1,1
1990,Europa Europa,Agnieszka Holland,R,112,0,1,1,0,1
